County, FIPS,Value (Dollars),Rank within US (of 3141 counties)
"United States",00000,69,021,"N/A"
"Virginia",51000,80,615,"10 of 51"
"Dickenson County",51051,33,905,"3,071"
"Norton City",51720,35,592,"3,038"
"Emporia City",51595,36,111,"3,025"
"Martinsville City",51690,36,832,"3,010"
"Buchanan County",51027,37,093,"3,004"
"Lee County",51105,37,574,"2,992"
"Danville City",51590,38,904,"2,948"
"Galax City",51640,39,808,"2,906"
"Russell County",51167,41,100,"2,848"
"Henry County",51089,41,103,"2,847"
"Covington City",51580,41,242,"2,837"
"Buena Vista City",51530,42,156,"2,796"
"Scott County",51169,42,561,"2,771"
"Smyth County",51173,42,588,"2,770"
"Tazewell County",51185,42,937,"2,755"
"Grayson County",51077,43,022,"2,746"
"Bristol City",51520,43,879,"2,677"
"Hopewell City",51670,44,209,"2,654"
"Radford City",51750,44,360,"2,644"
"Wise County",51195,44,884,"2,614"
"Petersburg City",51730,44,890,"2,613"
"Carroll County",51035,45,220,"2,582"
"Charlotte County",51037,45,567,"2,560"
"Halifax County with South Boston City",51083,45,962,"2,527"
"Mecklenburg County",51117,46,378,"2,492"
"Patrick County",51141,47,215,"2,426"
"Waynesboro City",51820,47,238,"2,421"
"Lunenburg County",51111,47,269,"2,418"
"Roanoke City",51770,48,476,"2,336"
"Prince Edward County",51147,49,019,"2,295"
"Franklin City",51620,49,424,"2,273"
"Pittsylvania County",51143,49,486,"2,264"
"Brunswick County",51025,49,597,"2,256"
"Alleghany County and Clifton Forge City",51005,49,705,"2,238"
"Buckingham County",51029,49,841,"2,229"
"Northampton County",51131,50,347,"2,196"
"Accomack County",51001,50,601,"2,172"
"Harrisonburg City",51660,51,055,"2,117"
"Floyd County",51063,51,612,"2,073"
"Wythe County",51197,52,726,"1,953"
"Highland County",51091,52,901,"1,928"
"Staunton City",51790,53,041,"1,915"
"Greensville County",51081,53,063,"1,913"
"Westmoreland County",51193,53,113,"1,899"
"Page County",51139,53,168,"1,891"
"Campbell County",51031,53,918,"1,806"
"Lynchburg City",51680,54,015,"1,797"
"Portsmouth City",51740,54,020,"1,796"
"Essex County",51057,54,375,"1,752"
"Bland County",51021,54,556,"1,734"
"Nottoway County",51135,54,614,"1,727"
"Washington County",51191,54,737,"1,712"
"Richmond City",51760,54,795,"1,705"
"Appomattox County",51011,55,268,"1,644"
"Pulaski County",51155,55,446,"1,628"
"Bath County",51017,55,807,"1,586"
"Norfolk City",51710,56,244,"1,540"
"Sussex County",51183,56,968,"1,467"
"Amelia County",51007,57,420,"1,434"
"Newport News City",51700,57,463,"1,428"
"Cumberland County",51049,57,568,"1,420"
"Richmond County",51159,57,697,"1,407"
"Rockbridge County",51163,57,828,"1,393"
"Giles County",51071,57,911,"1,381"
"Shenandoah County",51171,58,609,"1,302"
"Hampton City",51650,59,380,"1,242"
"Charles City County",51036,59,543,"1,222"
"Franklin County",51067,59,667,"1,213"
"Craig County",51045,60,283,"1,155"
"Montgomery County",51121,60,666,"1,125"
"Amherst County",51009,60,876,"1,104"
"Surry County",51181,61,105,"1,090"
"Northumberland County",51133,61,291,"1,073"
"Winchester City",51840,61,321,"1,069"
"King and Queen County",51097,61,672,"1,041"
"Charlottesville City",51540,63,470,"895"
"Middlesex County",51119,63,782,"873"
"Lancaster County",51103,64,460,"815"
"Southampton County",51175,65,079,"769"
"Williamsburg City",51830,65,297,"762"
"Colonial Heights City",51570,65,570,"744"
"Lexington City",51678,66,114,"718"
"Salem City",51775,66,472,"698"
"Rockingham County",51165,67,484,"646"
"Nelson County",51125,67,707,"633"
"Dinwiddie County",51053,68,918,"568"
"Augusta County",51015,69,082,"561"
"Bedford City and County",51917,70,870,"493"
"Louisa County",51109,70,974,"489"
"Fredericksburg City",51630,72,293,"443"
"Madison County",51113,72,349,"438"
"Warren County",51187,72,840,"422"
"Botetourt County",51023,72,941,"418"
"Mathews County",51115,73,229,"403"
"Greene County",51079,73,844,"388"
"King William County",51101,74,592,"371"
"Roanoke County",51161,74,622,"369"
"Henrico County",51087,76,345,"327"
"Caroline County",51033,76,528,"319"
"Gloucester County",51073,77,733,"290"
"Prince George County",51149,78,895,"266"
"Orange County",51137,79,211,"260"
"Virginia Beach City",51810,81,810,"231"
"Suffolk City",51800,81,883,"228"
"Fluvanna County",51065,82,983,"211"
"Frederick County",51069,84,317,"200"
"Isle of Wight County",51093,84,673,"194"
"Culpeper County",51047,85,274,"185"
"Chesapeake City",51550,85,563,"182"
"Clarke County",51043,86,633,"171"
"Chesterfield County",51041,88,315,"155"
"Rappahannock County",51157,90,307,"136"
"Manassas Park City",51685,90,544,"134"
"Albemarle County",51003,90,568,"133"
"James City County",51095,94,907,"96"
"York County",51199,96,144,"85"
"Hanover County",51085,96,911,"80"
"Spotsylvania County",51177,98,973,"74"
"Goochland County",51075,100,517,"66"
"Powhatan County",51145,101,395,"63"
"King George County",51099,101,599,"62"
"New Kent County",51127,101,628,"61"
"Manassas City",51683,101,934,"57"
"Alexandria City",51510,105,450,"49"
"Fauquier County",51061,111,368,"35"
"Poquoson City",51735,112,026,"29"
"Prince William County",51153,113,831,"26"
"Fairfax City",51600,118,492,"19"
"Stafford County",51179,119,818,"18"
"Arlington County",51013,128,145,"8"
"Fairfax County",51059,133,974,"5"
"Falls Church City",51610,155,071,"2"
"Loudoun County",51107,156,821,"1"
